candidate,epoch,run_id,raw_output_count,parsed_ok_count,parse_failure_count,parsed_ok_rate,no_refusal_or_meta_count,no_markdown_fence_count,no_mojibake_count,judge_mean_capped_score,judge_count,judge_run_id,source_safety_margin,main_message_salience,major_risk_count,severe_fail_count,training_runtime_seconds,train_loss,eval_loss,training_oom,metrics_path,judge_summary_path,training_result_path
granite41_3b,1,stage1_anchor_r32_lr2e4,145,135,10,0.931034,133,135,135,75.914894,47,stage1_val50_granite41_anchor_20260512,3.212766,4.021277,2,0,7780.29,,,False,model_workspaces/granite41_3b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_1_record_messages/metrics.json,outputs/judge/stage1_val50_granite41_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/granite41_3b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
granite41_3b,2,stage1_anchor_r32_lr2e4,145,141,4,0.972414,136,141,141,72.98,50,stage1_val50_granite41_anchor_20260512,3.18,4.0,5,0,7780.29,,,False,model_workspaces/granite41_3b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_2_record_messages/metrics.json,outputs/judge/stage1_val50_granite41_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/granite41_3b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
granite41_3b,3,stage1_anchor_r32_lr2e4,145,140,5,0.965517,136,140,140,74.020408,49,stage1_val50_granite41_anchor_20260512,3.122449,3.877551,5,0,7780.29,,,False,model_workspaces/granite41_3b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_3_record_messages/metrics.json,outputs/judge/stage1_val50_granite41_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/granite41_3b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
granite41_3b,4,stage1_anchor_r32_lr2e4,145,141,4,0.972414,139,141,141,72.94,50,stage1_val50_granite41_anchor_20260512,3.08,3.94,7,0,7780.29,,,False,model_workspaces/granite41_3b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_4_record_messages/metrics.json,outputs/judge/stage1_val50_granite41_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/granite41_3b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
granite41_3b,5,stage1_anchor_r32_lr2e4,145,140,5,0.965517,134,140,140,74.591837,49,stage1_val50_granite41_anchor_20260512,3.122449,4.040816,5,0,7780.29,,,False,model_workspaces/granite41_3b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_5_record_messages/metrics.json,outputs/judge/stage1_val50_granite41_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/granite41_3b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
llama32_3b_instruct,1,stage1_anchor_r32_lr2e4,145,138,7,0.951724,135,138,138,73.32,50,stage1_val50_llama32_anchor_20260511,3.08,3.94,2,1,11306.21,,,False,model_workspaces/llama32_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_1_record_messages/metrics.json,outputs/judge/stage1_val50_llama32_anchor_20260511/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/llama32_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
llama32_3b_instruct,2,stage1_anchor_r32_lr2e4,145,140,5,0.965517,137,140,140,74.16,50,stage1_val50_llama32_anchor_20260511,3.18,4.02,6,0,11306.21,,,False,model_workspaces/llama32_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_2_record_messages/metrics.json,outputs/judge/stage1_val50_llama32_anchor_20260511/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/llama32_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
llama32_3b_instruct,3,stage1_anchor_r32_lr2e4,145,140,5,0.965517,133,140,140,74.0,50,stage1_val50_llama32_anchor_20260511,3.18,4.02,6,0,11306.21,,,False,model_workspaces/llama32_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_3_record_messages/metrics.json,outputs/judge/stage1_val50_llama32_anchor_20260511/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/llama32_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
llama32_3b_instruct,4,stage1_anchor_r32_lr2e4,145,137,8,0.944828,134,137,137,73.64,50,stage1_val50_llama32_anchor_20260511,3.08,3.96,2,0,11306.21,,,False,model_workspaces/llama32_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_4_record_messages/metrics.json,outputs/judge/stage1_val50_llama32_anchor_20260511/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/llama32_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
llama32_3b_instruct,5,stage1_anchor_r32_lr2e4,145,139,6,0.958621,136,139,139,75.56,50,stage1_val50_llama32_anchor_20260511,3.16,4.04,6,0,11306.21,,,False,model_workspaces/llama32_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_5_record_messages/metrics.json,outputs/judge/stage1_val50_llama32_anchor_20260511/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/llama32_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
ministral3_3b_instruct,1,stage1_anchor_r32_lr2e4,145,138,7,0.951724,134,138,138,74.510204,49,stage1_val50_ministral3_anchor_20260512,3.285714,4.102041,5,0,5987.41,,,False,model_workspaces/ministral3_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_1_record_messages/metrics.json,outputs/judge/stage1_val50_ministral3_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/ministral3_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
ministral3_3b_instruct,2,stage1_anchor_r32_lr2e4,145,138,7,0.951724,134,138,138,72.166667,48,stage1_val50_ministral3_anchor_20260512,3.1875,3.9375,5,0,5987.41,,,False,model_workspaces/ministral3_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_2_record_messages/metrics.json,outputs/judge/stage1_val50_ministral3_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/ministral3_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
ministral3_3b_instruct,3,stage1_anchor_r32_lr2e4,145,137,8,0.944828,134,137,137,75.94,50,stage1_val50_ministral3_anchor_20260512,3.24,4.06,2,1,5987.41,,,False,model_workspaces/ministral3_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_3_record_messages/metrics.json,outputs/judge/stage1_val50_ministral3_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/ministral3_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
ministral3_3b_instruct,4,stage1_anchor_r32_lr2e4,145,140,5,0.965517,136,140,140,71.583333,48,stage1_val50_ministral3_anchor_20260512,3.0,3.958333,7,0,5987.41,,,False,model_workspaces/ministral3_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_4_record_messages/metrics.json,outputs/judge/stage1_val50_ministral3_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/ministral3_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
